Network,Demand,Goodwill,Backlog,Num_Seeds,Oracle_Profit_Mean,Oracle_Profit_Std,Oracle_Profit_Min,Oracle_Profit_Max,Oracle_FillRate_Mean,Oracle_FillRate_Std,Oracle_FillRate_Min,Oracle_FillRate_Max,Oracle_AvgInv_Mean,Oracle_AvgInv_Std,Oracle_AvgInv_Min,Oracle_AvgInv_Max,Oracle_Unfulfilled_Mean,Oracle_Unfulfilled_Std,Oracle_Unfulfilled_Min,Oracle_Unfulfilled_Max,Oracle_AvgBacklog_Mean,Oracle_AvgBacklog_Std,Oracle_AvgBacklog_Min,Oracle_AvgBacklog_Max,Oracle_FinalSentiment_Mean,Oracle_FinalSentiment_Std,Oracle_FinalSentiment_Min,Oracle_FinalSentiment_Max,Avg_SolveTime_s
base,trend+shock,True,False,30,2291.0326333333333,187.42553640100846,1870.005,2733.612,0.9402993741714469,0.0146607165400228,0.9092987804878049,0.9688264058679706,455.2388888888889,16.987845741512377,417.26666666666665,488.76666666666665,87.03333333333333,19.00722790529114,51.0,127.0,2.901111111111111,0.6335742635097047,1.7,4.233333333333333,0.9043178460833183,0.07035607030511842,0.7497656126116103,1.0596491912748354,0.21521112124125164
base,trend+shock,True,True,30,2210.4361,210.36612051953114,1841.605,2827.0289999999995,0.844649246813984,0.06546956378219339,0.7025472473294987,0.9559902200488998,460.0866666666667,20.894459475698557,403.26666666666665,491.1333333333333,208.46666666666667,80.90937174877585,72.0,374.0,6.948888888888888,2.696979058292529,2.4,12.466666666666667,0.816949546872188,0.08684103288791505,0.6681079716341083,1.0596491912748354,0.21318914890289306
serial,seasonal,False,False,30,983.1083333333332,30.788864655612247,932.42,1050.56,0.9369174648636341,0.026995792284451037,0.8849144634525661,1.0,64.50333333333334,3.0491547726519572,60.0,72.06666666666666,38.2,17.171347425691238,0.0,74.0,1.2733333333333332,0.5723782475230413,0.0,2.466666666666667,1.0,0.0,1.0,1.0,0.1613168478012085
serial,seasonal,False,True,30,1037.8916666666667,40.250026779458494,959.4200000000001,1129.46,0.915974598980015,0.04766497051986592,0.8130217028380634,1.0,58.48777777777777,4.673152170995745,51.36666666666667,71.9,51.03333333333333,29.943030198549785,0.0,113.0,1.7011111111111108,0.9981010066183262,0.0,3.7666666666666666,1.0,0.0,1.0,1.0,0.12225847244262696
serial,seasonal,True,False,30,866.6393333333333,65.44420508227276,730.55,1010.16,0.926550789889239,0.0244334115898208,0.8739352640545145,0.9679054054054054,99.76888888888887,8.504747078002488,85.1,114.66666666666667,42.7,14.484593479827526,19.0,74.0,1.4233333333333331,0.48281978266091763,0.6333333333333333,2.466666666666667,1.0586233482733811,0.08175691650960955,0.9442418536112391,1.1891618702084263,0.15934034983317058
serial,seasonal,True,True,30,916.6906666666666,73.32373393493351,727.11,1050.94,0.8980141720326088,0.04734542245170877,0.797274275979557,0.9679054054054054,98.46777777777775,12.533924794473283,81.1,125.2,58.96666666666667,27.360282481569236,19.0,119.0,1.9655555555555553,0.9120094160523077,0.6333333333333333,3.966666666666667,1.0551954075507,0.08858861996591126,0.8414036319308071,1.1891618702084263,0.19126935799916586
serial,seasonal+shock,False,False,30,1271.2926666666667,36.23210387576698,1200.25,1350.21,0.9529595802669435,0.02028768476128308,0.9125295508274232,1.0,77.22,2.676985781352455,73.26666666666667,83.76666666666667,38.2,17.171347425691238,0.0,74.0,1.2733333333333332,0.5723782475230413,0.0,2.466666666666667,1.0,0.0,1.0,1.0,0.17156827449798584
serial,seasonal+shock,False,True,30,1325.8220000000001,45.99907880636833,1234.01,1424.8600000000001,0.9373132509060526,0.03578654471826589,0.86,1.0,72.05111111111113,4.346987624189091,64.76666666666667,83.76666666666667,51.03333333333333,29.943030198549785,0.0,113.0,1.7011111111111108,0.9981010066183262,0.0,3.7666666666666666,1.0,0.0,1.0,1.0,0.1517166217168172
serial,seasonal+shock,True,False,30,1110.9326666666668,91.17836747876083,968.4799999999999,1295.1200000000001,0.9454040066571657,0.0188688270992871,0.9030144167758847,0.9768292682926829,128.62666666666667,11.513727938182434,106.43333333333334,148.06666666666666,42.7,14.484593479827526,19.0,74.0,1.4233333333333331,0.48281978266091763,0.6333333333333333,2.466666666666667,1.0586233482733811,0.08175691650960955,0.9442418536112391,1.1891618702084263,0.13748931884765625
serial,seasonal+shock,True,True,30,1158.3826666666666,101.86541394487591,863.83,1335.9,0.923940055793538,0.03633595599902304,0.8440366972477065,0.9768292682926829,127.7011111111111,15.663502941339747,102.7,162.43333333333334,58.96666666666667,27.360282481569236,19.0,119.0,1.9655555555555553,0.9120094160523077,0.6333333333333333,3.966666666666667,1.0551954075507,0.08858861996591126,0.8414036319308071,1.1891618702084263,0.1948834737141927
serial,shock,False,False,30,1451.9753333333335,47.5261198408458,1346.78,1548.8799999999997,0.9997123336929162,0.0015756132542399548,0.9913700107874865,1.0,103.71333333333335,6.187941555126,93.56666666666666,118.7,0.26666666666666666,1.4605934866804429,0.0,8.0,0.008888888888888889,0.04868644955601477,0.0,0.26666666666666666,1.0,0.0,1.0,1.0,0.1400524139404297
serial,shock,False,True,30,1452.3673333333338,47.86585342055609,1346.78,1548.8799999999997,0.9997123336929162,0.0015756132542399548,0.9913700107874865,1.0,103.6688888888889,6.267607738909464,92.23333333333333,118.7,0.26666666666666666,1.4605934866804429,0.0,8.0,0.008888888888888889,0.04868644955601477,0.0,0.26666666666666666,1.0,0.0,1.0,1.0,0.15220377445220948
serial,shock,True,False,30,1646.5510000000004,77.1101414838228,1472.7900000000002,1757.6800000000003,0.9981860104716538,0.003984359643101079,0.9867549668874173,1.0,114.64111111111109,9.38000924495837,103.66666666666667,141.56666666666666,1.8333333333333333,4.043584389207634,0.0,14.0,0.06111111111111111,0.13478614630692115,0.0,0.4666666666666667,1.305435475295472,0.05913066603295868,1.1891618702084263,1.334503876567234,0.16393675804138183
