Network,Demand,Goodwill,Backlog,N,Old_Profit_Mean,Old_Profit_Std,Old_FillRate_Mean,Clv_Profit_Mean,Clv_Profit_Std,Clv_FillRate_Mean,Clv_Sentiment_Mean,Clv_AvgTime,Profit_Diff,Profit_Diff_Pct,FillRate_Diff
base,stationary,True,True,30,951.4979,58.94378929545412,0.9773457230813498,639.9203,46.95592200112638,0.8855774852404252,0.5790083837526847,4.011433426539103,-311.57759999999996,-32.74601026444724,-0.09176823784092458
base,trend,False,False,30,1583.9560666666666,51.81403123701036,0.9267113114865586,1583.9560666666666,51.81403123701033,0.9267113114865586,1.0,3.700379490852356,0.0,0.0,0.0
base,trend,False,True,30,1742.0716333333332,73.13326305355801,0.8438120157866595,1742.0716333333332,73.13326305355797,0.8438120157866595,1.0,4.490966121355693,0.0,0.0,0.0
base,trend,True,False,30,1331.1472666666666,96.80124597799322,0.9068769355626204,1066.6924999999999,88.36549544295735,0.8740754798042568,0.5982730796097315,5.1904425621032715,-264.4547666666667,-19.866679915054732,-0.032801455758363574
base,trend,True,True,30,1390.9051,93.20180344353635,0.7626590159320085,1065.6815666666666,70.44090794402182,0.7388431908564039,0.47677473121276537,1.9680046876271566,-325.2235333333333,-23.382151185823773,-0.023815825075604535
base,trend+seasonal,False,False,30,1161.7781333333332,38.27754387296976,0.7875362894036252,1161.7781333333332,38.27754387296976,0.7875362894036252,1.0,1.393139362335205,0.0,0.0,0.0
base,trend+seasonal,False,True,30,1550.8515333333335,67.87566678848619,0.18703668142765612,1550.8515333333335,67.87566678848619,0.18703668142765612,1.0,1.0775651534398396,0.0,0.0,0.0
base,trend+seasonal,True,False,30,775.1501000000001,54.01155007023643,0.7639138675632446,655.7752666666667,38.73536213041919,0.7370072792898288,0.45641813894298533,1.7784084637959798,-119.37483333333341,-15.400221625893282,-0.026906588273415855
base,trend+seasonal,True,True,30,1035.9843666666666,64.6287172161018,0.06050429877540154,952.2382333333336,62.781757012402636,0.0481056613113557,0.4167179482598423,1.845626680056254,-83.74613333333298,-8.083725587750953,-0.01239863746404584
base,trend+seasonal+shock,False,False,30,2057.0845,52.8914885452705,0.8527735564457987,2057.0641,52.907160114708915,0.8527735564457987,1.0,1.5093024810155233,-0.020399999999881402,-0.000991694799114057,0.0
