Network,Demand,Goodwill,Backlog,Seed,Oracle_Profit,Oracle_FillRate,Oracle_AvgInv,Oracle_Unfulfilled,Oracle_AvgBacklog,Oracle_FinalSentiment,Oracle_SolveTime_s
base,trend,False,True,61,1752.268,0.8954501452081316,459.76666666666665,108.0,3.6,1.0,0.40360307693481445
base,trend,False,True,62,1866.562,0.7998163452708907,426.6666666666667,218.0,7.266666666666667,1.0,0.43143677711486816
base,trend,False,True,63,1756.3139999999999,0.9054054054054054,464.96666666666664,98.0,3.2666666666666666,1.0,0.3856379985809326
base,trend,False,True,64,1872.7469999999998,0.6946216955332726,422.26666666666665,335.0,11.166666666666666,1.0,0.4196641445159912
base,trend,False,True,65,1667.359,0.8361809045226131,467.6333333333333,163.0,5.433333333333334,1.0,0.40047407150268555
base,trend,False,True,66,1725.475,0.9205103042198234,463.3666666666667,81.0,2.7,1.0,0.545215368270874
base,trend,False,True,67,1558.8960000000002,0.9297124600638977,483.6666666666667,66.0,2.2,1.0,0.39781832695007324
base,trend,False,True,68,1723.935,0.8753680078508341,456.3666666666667,127.0,4.233333333333333,1.0,0.6441280841827393
base,trend,False,True,69,1830.9879999999998,0.6564531104921076,418.3,370.0,12.333333333333334,1.0,0.5057210922241211
base,trend,False,True,70,1694.4739999999997,0.9283582089552239,473.3666666666667,72.0,2.4,1.0,0.836724042892456
base,trend,False,True,71,1846.8309999999997,0.7835337650323775,431.0,234.0,7.8,1.0,0.7846071720123291
base,trend,False,False,42,1567.2240000000002,0.9202334630350195,497.5,82.0,2.7333333333333334,1.0,0.8639140129089355
base,trend,False,False,43,1574.5679999999998,0.9349112426035503,493.3333333333333,66.0,2.2,1.0,0.9045009613037109
base,trend,False,False,44,1594.0569999999998,0.9345703125,485.76666666666665,67.0,2.2333333333333334,1.0,0.43182802200317383
base,trend,False,False,45,1566.33,0.9077809798270894,491.76666666666665,96.0,3.2,1.0,0.4290740489959717
base,trend,False,False,46,1500.88,0.9031620553359684,501.73333333333335,98.0,3.2666666666666666,1.0,1.0401349067687988
base,trend,False,False,47,1619.38,0.8948339483394834,479.8333333333333,114.0,3.8,1.0,0.5969221591949463
base,trend,False,False,48,1589.2490000000003,0.9209257473481196,484.76666666666665,82.0,2.7333333333333334,1.0,0.5973398685455322
base,trend,False,False,49,1568.578,0.9069990412272292,489.6,97.0,3.2333333333333334,1.0,0.43138623237609863
base,trend,False,False,50,1653.2110000000002,0.9337748344370861,486.3,70.0,2.3333333333333335,1.0,0.4611079692840576
base,trend,False,False,51,1593.4499999999998,0.9300291545189504,489.8333333333333,72.0,2.4,1.0,0.4168541431427002
base,trend,False,False,52,1542.8960000000002,0.9156862745098039,496.8333333333333,86.0,2.8666666666666667,1.0,0.4439878463745117
base,trend,False,False,53,1498.8670000000002,0.9203629032258065,501.6333333333333,79.0,2.6333333333333333,1.0,0.3697669506072998
base,trend,False,False,54,1560.357,0.9661538461538461,501.73333333333335,33.0,1.1,1.0,0.43938207626342773
base,trend,False,False,55,1597.3149999999998,0.9706774519716885,499.9,29.0,0.9666666666666667,1.0,1.2223517894744873
base,trend,False,False,56,1624.649,0.9170593779453345,487.03333333333336,88.0,2.933333333333333,1.0,0.3588368892669678
base,trend,False,False,57,1665.6120000000003,0.9349670122525919,483.6,69.0,2.3,1.0,0.35851216316223145
base,trend,False,False,58,1587.653,0.9307992202729045,493.03333333333336,71.0,2.3666666666666667,1.0,0.9399921894073486
base,trend,False,False,59,1537.47,0.9265143992055611,505.5,74.0,2.466666666666667,1.0,0.4293677806854248
base,trend,False,False,60,1552.3229999999999,0.9474216380182002,496.8666666666667,52.0,1.7333333333333334,1.0,0.39637279510498047
base,trend,False,False,61,1618.326,0.9390125847047435,493.06666666666666,63.0,2.1,1.0,0.3776998519897461
base,trend,False,False,62,1686.4070000000002,0.9191919191919192,472.3333333333333,88.0,2.933333333333333,1.0,0.36371684074401855
base,trend,False,False,63,1623.6709999999998,0.9401544401544402,497.73333333333335,62.0,2.066666666666667,1.0,0.3466200828552246
base,trend,False,False,64,1628.736,0.8896991795806746,484.3333333333333,121.0,4.033333333333333,1.0,0.4072880744934082
base,trend,False,False,65,1502.158,0.9206030150753769,509.2,79.0,2.6333333333333333,1.0,1.011202096939087
base,trend,False,False,66,1611.7900000000002,0.9479882237487733,491.53333333333336,53.0,1.7666666666666666,1.0,0.4470231533050537
base,trend,False,False,67,1459.7630000000001,0.9510117145899893,508.2,46.0,1.5333333333333334,1.0,0.33460092544555664
base,trend,False,False,68,1587.3010000000002,0.9362119725220804,490.6666666666667,65.0,2.1666666666666665,1.0,0.33156919479370117
base,trend,False,False,69,1574.362,0.8811513463324048,484.1666666666667,128.0,4.266666666666667,1.0,0.3183908462524414
base,trend,False,False,70,1582.176,0.9482587064676617,501.1,52.0,1.7333333333333334,1.0,0.33678603172302246
base,trend,False,False,71,1649.923,0.9111933395004626,480.43333333333334,96.0,3.2,1.0,0.42311716079711914
base,trend,True,True,42,1301.5119999999997,0.6729411764705882,481.23333333333335,278.0,9.266666666666667,0.7497656126116105,2.734492063522339
base,trend,True,True,43,1390.307,0.8603859250851306,483.76666666666665,123.0,4.1,0.8414036319308071,0.8033280372619629
base,trend,True,True,44,1421.1329999999998,0.8028953229398663,470.73333333333335,177.0,5.9,0.8414036319308071,0.6180400848388672
base,trend,True,True,45,1298.618,0.6591981132075472,476.8333333333333,289.0,9.633333333333333,0.7497656126116105,0.5674741268157959
base,trend,True,True,46,1263.23,0.6855421686746987,488.06666666666666,261.0,8.7,0.7497656126116105,0.49680209159851074
