Network,Demand,Goodwill,Backlog,Agent,Horizon,Profit_Mean,Profit_Std,FillRate_Mean,AvgInv_Mean,Unfulfilled_Mean,Time_Mean_Sec,Num_Seeds
base,seasonal+shock,True,True,DLP_Adaptive_Blind,26,666.7547999999999,36.82870781550724,0.6706680153212141,659.2533333333333,175.2,1.3606720924377442,5
base,seasonal+shock,True,False,DLP_H10,10,685.3219999999999,70.97860245172484,0.9028514719462437,668.7133333333334,59.2,1.0000396251678467,5
base,seasonal+shock,True,False,DLP_H10_Blind,10,708.761,30.714394247648777,0.8938482763973946,665.3066666666666,66.0,1.0001682758331298,5
base,seasonal+shock,True,False,DLP_Adaptive,26,732.6025999999999,69.90293157972707,0.9028514719462437,664.7666666666667,59.2,1.346377468109131,5
base,seasonal+shock,True,False,DLP_Adaptive_Blind,26,674.1388000000001,20.109173562332206,0.8830333041915882,675.4866666666667,68.6,1.396552848815918,5
base,trend+seasonal+shock,False,True,DLP_H10,10,2291.338,16.708093428036683,0.20909474492264618,341.93999999999994,1099.8,1.0954848289489747,5
base,trend+seasonal+shock,False,True,DLP_H10_Blind,10,2149.6940000000004,65.44138831045694,0.0,360.50666666666666,1570.6,1.1352147102355956,5
base,trend+seasonal+shock,False,True,DLP_Adaptive,26,2404.5735999999997,43.060499795520364,0.21539585609882597,330.02,1090.0,1.4849645137786864,5
base,trend+seasonal+shock,False,True,DLP_Adaptive_Blind,26,1712.8205999999998,62.63079539843005,0.0,438.4866666666667,3863.8,1.4499980449676513,5
base,trend+seasonal+shock,False,False,DLP_H10,10,1961.1760000000002,39.51908063201879,0.8295476001136484,466.17333333333335,236.2,1.1311518192291259,5
base,trend+seasonal+shock,False,False,DLP_H10_Blind,10,1587.82,50.2947298431953,0.7085111507864249,521.1533333333334,403.6,1.0937411785125732,5
base,trend+seasonal+shock,False,False,DLP_Adaptive,26,1990.509,39.415631416989854,0.8294015080756644,462.58000000000004,236.4,1.5814949512481689,5
base,trend+seasonal+shock,False,False,DLP_Adaptive_Blind,26,1240.0518,40.82341628722416,0.5832327449847243,600.0933333333334,576.8,1.4381378173828125,5
base,trend+seasonal+shock,True,True,DLP_H10,10,1168.83,157.77918668189417,0.3878988078105371,554.24,476.8,1.0722786426544189,5
base,trend+seasonal+shock,True,True,DLP_H10_Blind,10,860.936,27.456010161711365,0.4661902903753665,615.46,349.6,1.022839403152466,5
base,trend+seasonal+shock,True,True,DLP_Adaptive,26,1193.0284000000001,155.95562779919172,0.3882635730958144,554.5733333333334,476.8,1.3549284934997559,5
base,trend+seasonal+shock,True,True,DLP_Adaptive_Blind,26,813.887,78.37322630847866,0.26561907864701456,625.5533333333333,448.0,1.3625081062316895,5
base,trend+seasonal+shock,True,False,DLP_H10,10,1060.7350000000001,101.04347514807664,0.8252672302110977,605.7133333333334,152.8,0.9924803733825683,5
base,trend+seasonal+shock,True,False,DLP_H10_Blind,10,865.0730000000001,38.81030154482181,0.8254967873892054,639.9933333333332,133.8,1.0088615894317627,5
base,trend+seasonal+shock,True,False,DLP_Adaptive,26,1106.9112,97.90149280659621,0.828029923110412,606.54,151.0,1.3450116157531737,5
base,trend+seasonal+shock,True,False,DLP_Adaptive_Blind,26,783.2744,32.40172428498212,0.8004100068021966,657.4799999999999,143.4,1.3461730003356933,5
serial,stationary,False,True,DLP_H10,10,631.328,31.1820059649792,0.0,72.07333333333334,1234.2,0.7746777057647705,5
serial,stationary,False,True,DLP_H10_Blind,10,630.7920000000001,25.52805155118578,0.0,71.7,1223.0,0.8116833209991455,5
serial,stationary,False,True,DLP_Adaptive,18,1003.826,30.93484158679332,0.7330525935736079,90.1,164.4,1.2933515548706054,5
serial,stationary,False,True,DLP_Adaptive_Blind,18,966.9519999999999,37.70878751697007,0.5681700757022495,93.38,260.4,1.4129691123962402,5
serial,stationary,False,False,DLP_H10,10,731.748,1.560658835235908,0.6715281800000331,78.79333333333334,196.8,0.9019046783447265,5
serial,stationary,False,False,DLP_H10_Blind,10,729.1220000000001,2.1374227471420104,0.6715281800000331,83.62,196.8,0.9481268405914307,5
serial,stationary,False,False,DLP_Adaptive,18,966.568,20.13832008882569,0.9460276803938557,95.05999999999999,33.0,1.0254522800445556,5
serial,stationary,False,False,DLP_Adaptive_Blind,18,919.7280000000001,24.80907124420419,0.890862025711515,97.70666666666666,65.6,1.0626389503479003,5
serial,stationary,True,True,DLP_H10,10,724.052,7.305437427012824,0.582029325943871,93.05333333333334,186.6,0.942988920211792,5
