Network,Demand,Goodwill,Backlog,Agent,Profit_Mean,Profit_Std,FillRate_Mean,AvgInv_Mean,Unfulfilled_Mean,Time_Mean_Sec,Num_Seeds
serial,trend+seasonal,True,False,Oracle,950.7860000000001,69.54630244664342,0.8909195669861745,173.3,88.0,0.12215900421142578,5
serial,trend+seasonal,True,False,DLP,739.092,1.835248212095592,0.641237988764914,48.906666666666666,224.4,1.4861422061920166,5
serial,trend+seasonal,True,False,DLP_Blind,730.246,5.098327568919044,0.6806760557351889,77.55333333333333,188.6,1.7220522880554199,5
serial,trend+shock,False,True,Oracle,2507.64,59.52961011127138,0.9765465362223061,128.38,39.0,0.13231415748596193,5
serial,trend+shock,False,True,DLP,-204.70800000000003,50.275758134512536,0.0,48.14,9684.2,1.4389967441558837,5
serial,trend+shock,False,True,DLP_Blind,-238.51000000000005,39.660174482722574,0.0,58.33333333333333,9990.0,1.4195284843444824,5
serial,trend+shock,False,False,Oracle,2463.3559999999998,52.507441225029986,0.981306095369465,131.88666666666668,31.0,0.11746444702148437,5
serial,trend+shock,False,False,DLP,636.9859999999999,3.660292884456123,0.24297358896534038,52.8,1247.4,1.5136256694793702,5
serial,trend+shock,False,False,DLP_Blind,631.05,2.7791653423285436,0.24297358896534038,71.63333333333333,1247.4,1.802105474472046,5
serial,trend+shock,True,True,Oracle,2154.084,381.7615859983821,0.9669384358322043,286.5466666666667,50.6,0.17610530853271483,5
serial,trend+shock,True,True,DLP,398.92199999999997,77.99356676034255,0.0,55.2,3596.6,2.219826173782349,5
serial,trend+shock,True,True,DLP_Blind,499.82199999999995,47.44681123110379,0.0,64.1,2561.0,1.7846357822418213,5
serial,trend+shock,True,False,Oracle,2171.3540000000003,278.2945035461536,0.9771933396739219,279.6666666666667,37.0,0.1056706428527832,5
serial,trend+shock,True,False,DLP,711.408,2.4744971206287376,0.45899357890695847,57.31333333333333,472.4,1.5178834438323974,5
serial,trend+shock,True,False,DLP_Blind,713.042,5.881514770873277,0.5053841330422519,75.97999999999999,395.8,2.2656232357025146,5
serial,seasonal+shock,False,True,Oracle,1321.2040000000002,44.44654884240173,0.8990261225366369,67.56666666666668,82.4,0.25914859771728516,5
serial,seasonal+shock,False,True,DLP,411.8619999999999,44.515647316421244,0.0,43.81333333333333,3538.4,4.274854373931885,5
serial,seasonal+shock,False,True,DLP_Blind,376.306,36.370261808241096,0.0,54.46666666666666,3858.0,4.934301090240479,5
serial,seasonal+shock,False,False,Oracle,1245.7900000000002,34.77969695095121,0.9336555287446048,74.67999999999999,53.6,0.8672265529632568,5
