Network,Demand,Goodwill,Backlog,Seed,Old_Profit,Old_FillRate,Old_Unfulfilled,Old_AvgInv,Old_AvgBacklog,Old_Sentiment,Old_SolveTime,Clv_Profit,Clv_FillRate,Clv_Unfulfilled,Clv_AvgInv,Clv_AvgBacklog,Clv_Sentiment,Clv_SolveTime
base,stationary,True,False,70,990.5649999999998,1.0,0.0,586.1666666666666,0.0,1.334503876567234,0,654.935,0.9501845018450185,27.0,104.38333333333334,0.9,0.6681079716341084,4.283571004867554
base,stationary,True,False,71,905.0449999999998,0.966412213740458,22.0,577.0666666666667,0.7333333333333333,1.0596491912748354,0,553.7450000000001,0.9246031746031746,38.0,104.16666666666667,1.2666666666666666,0.4727266219495708,3.9184062480926514
base,trend,False,True,42,1736.9740000000002,0.8190661478599222,186.0,454.6,6.2,1.0,0,1736.9739999999997,0.8190661478599222,186.0,75.76666666666667,6.2,1.0,3.14056396484375
base,trend,False,True,43,1715.1129999999998,0.8905325443786982,111.0,458.3333333333333,3.7,1.0,0,1715.1129999999998,0.8905325443786982,111.0,76.38888888888889,3.7,1.0,3.536677122116089
base,trend,False,True,44,1736.2789999999998,0.8857421875,117.0,450.4,3.9,1.0,0,1736.2789999999998,0.8857421875,117.0,75.06666666666666,3.9,1.0,3.182678699493408
base,trend,False,True,45,1763.083,0.7723342939481268,237.0,442.03333333333336,7.9,1.0,0,1763.083,0.7723342939481268,237.0,73.67222222222225,7.9,1.0,3.418051242828369
base,trend,False,True,46,1703.606,0.7786561264822134,224.0,450.4,7.466666666666667,1.0,0,1703.606,0.7786561264822134,224.0,75.06666666666669,7.466666666666667,1.0,3.1582190990448
base,trend,False,True,47,1849.512,0.709409594095941,315.0,421.06666666666666,10.5,1.0,0,1849.5119999999997,0.709409594095941,315.0,70.17777777777776,10.5,1.0,3.202404022216797
base,trend,False,True,48,1758.6270000000002,0.8177434908389585,189.0,442.3333333333333,6.3,1.0,0,1758.6269999999997,0.8177434908389585,189.0,73.72222222222219,6.3,1.0,3.166266679763794
base,trend,False,True,49,1767.482,0.7708533077660594,239.0,438.8333333333333,7.966666666666667,1.0,0,1767.482,0.7708533077660594,239.0,73.13888888888889,7.966666666666667,1.0,3.0750608444213867
base,trend,False,True,50,1800.911,0.8760643330179754,131.0,449.3,4.366666666666666,1.0,0,1800.9109999999998,0.8760643330179754,131.0,74.88333333333333,4.366666666666666,1.0,3.280298948287964
base,trend,False,True,51,1745.027,0.8658892128279884,138.0,452.2,4.6,1.0,0,1745.0269999999998,0.8658892128279884,138.0,75.36666666666669,4.6,1.0,3.6935408115386963
base,trend,False,True,52,1720.623,0.8058823529411765,198.0,452.0,6.6,1.0,0,1720.6229999999998,0.8058823529411765,198.0,75.33333333333336,6.6,1.0,8.781973123550415
base,trend,False,True,53,1664.6599999999999,0.841733870967742,157.0,460.23333333333335,5.233333333333333,1.0,0,1664.6599999999999,0.841733870967742,157.0,76.70555555555558,5.233333333333333,1.0,11.64050579071045
base,trend,False,True,54,1631.701,0.9538461538461538,45.0,484.1333333333333,1.5,1.0,0,1631.701,0.9538461538461538,45.0,80.68888888888888,1.5,1.0,6.493006229400635
base,trend,False,True,55,1661.058,0.9706774519716885,29.0,484.43333333333334,0.9666666666666667,1.0,0,1661.058,0.9706774519716885,29.0,80.7388888888889,0.9666666666666667,1.0,4.503192186355591
